,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,AVERAGE CLASS SIZE,schoolyear,frl_percent,total_enrollment,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,Total_score_Avg
SAT Critical Reading Avg. Score,1.0,0.8821037111552792,0.9726390839264567,0.36830259766874357,,-0.7314547888479603,0.33637316254691035,-0.22763542867248202,-0.4820941475904626,0.041152118474158124,-0.3622337199252557,0.4138619760695394,0.4306068530737413,0.06214011249010261,-0.21707327440302884,0.016156316223148885,-0.3673937094914775,0.4233972403592251,0.6180158616340732,0.293635219439901,-0.12601353027170256,0.3605887306641346,0.1260561167720693,0.9768191769301243
SAT Math Avg. Score,0.8821037111552792,1.0,0.8945505819339674,0.39273579690844745,,-0.6472419697941549,0.43441351618236274,0.02688679290085162,-0.21342310402270565,0.08793042765792808,-0.4775996758709054,0.5563164354236685,0.6983428242410307,0.03042269870726617,-0.38253215501784466,0.10775219052984887,-0.3503410352417422,0.46780588113137783,0.6196152244512322,0.4104422092507563,-0.029207810957733726,0.43153711633572245,0.02926437319345387,0.95640635395584
SAT Writing Avg. Score,0.9726390839264567,0.8945505819339674,1.0,0.3910083373213821,,-0.7201465690008139,0.3449886587731987,-0.19947402646938214,-0.4311279654261464,0.03818698252925438,-0.3763220937308923,0.42810689118691575,0.45810679841251356,0.03586195718148857,-0.27005028558709604,0.02205371653533245,-0.34255455469185425,0.44722702133929637,0.6465131138474193,0.29358520753197415,-0.16742270821810934,0.37810548972322466,0.1674738136219369,0.9817509791472211
AVERAGE CLASS SIZE,0.36830259766874357,0.39273579690844745,0.3910083373213821,1.0,,-0.3791257326026054,0.5360868073215727,0.1480728661357263,-0.21326049031223324,0.43203623832406574,-0.05557271607458418,0.3981242225264172,0.21598044940102204,0.3684420179586154,-0.12601248652499347,0.36566773462092017,-0.1620310375127605,0.3861400301100021,0.30954510169929367,0.5054822303337333,0.013523368600908463,0.5333244687236974,-0.01354196660198224,0.39596397767241415
schoolyear,,,,,,,,,,,,,,,,,,,,,,,,
frl_percent,-0.7314547888479603,-0.6472419697941549,-0.7201465690008139,-0.3791257326026054,,1.0,-0.3505518595794121,0.12295183114190637,0.42095475048585207,-0.1741634482951752,0.2574868250758203,-0.32715350922964026,-0.3326554167650728,-0.17712553740966389,0.03148319420896601,0.009585312841267967,0.541250977955077,-0.5077194717935216,-0.6908946520469905,-0.31153000814220705,0.049599605448492234,-0.36954718889307986,-0.04959763789701631,-0.7181633396005848
total_enrollment,0.33637316254691035,0.43441351618236274,0.3449886587731987,0.5360868073215727,,-0.3505518595794121,1.0,0.5635116252303686,-0.05889612963933851,0.8036972161911412,-0.13502329052726852,0.8102361675194426,0.41072780608968357,0.5544511081484795,-0.25377180838100477,0.720819567786417,-0.16722223712344703,0.7115774985998462,0.36263416913689617,0.9705435838769105,0.05642828657076641,0.964622356163094,-0.056401769696578306,0.3857407329174131
ell_num,-0.22763542867248202,0.02688679290085162,-0.19947402646938214,0.1480728661357263,,0.12295183114190637,0.5635116252303686,1.0,0.5861908072402474,0.5026473095781183,-0.1984786015492865,0.4436307037534354,0.33308738103340696,0.19746427008938539,-0.3540831489038674,0.6397398028376777,0.16214119972913293,0.25112332805691095,0.036830296545323986,0.5695065717653484,0.114824040491133,0.5188528155126007,-0.11479918125549733,-0.13035473231460218
ell_percent,-0.4820941475904626,-0.21342310402270565,-0.4311279654261464,-0.21326049031223324,,0.42095475048585207,-0.05889612963933851,0.5861908072402474,1.0,-0.11623125308179041,-0.29587936450441976,-0.0010209580565854318,0.19494990838028625,-0.22457741452723914,-0.3753180184556326,0.1027355946688436,0.3681034880848256,-0.09532051092145324,-0.15040268289331243,-0.036718518385058185,0.12142501191737742,-0.0791807849109934,-0.12140410320914068,-0.37950957109459205
sped_num,0.041152118474158124,0.08793042765792808,0.03818698252925438,0.43203623832406574,,-0.1741634482951752,0.8036972161911412,0.5026473095781183,-0.11623125308179041,1.0,0.2883909106855769,0.4268327648329302,0.09824475067716881,0.5428634064853102,-0.14732925386597423,0.7598745226219752,-0.020214341760830763,0.552684682922393,0.22768309158212896,0.795162079243991,0.13541415306804788,0.75869838936187,-0.13539735356187402,0.058782065690034226
